instrument_id,timestamp,action,reason,stop_distance,approved
ZZ0000000008:XETR:EUR,2024-01-02T10:20:00Z,LONG,momentum,0.16536619310315867,True
ZZ0000000008:XETR:EUR,2024-01-02T11:00:00Z,EXIT,close-observed take profit,0.18807903825548777,True
ZZ0000000008:XETR:EUR,2024-01-02T11:25:00Z,LONG,momentum,0.19175990174652316,False
ZZ0000000008:XETR:EUR,2024-01-02T11:50:00Z,LONG,momentum,0.174427900897028,True
ZZ0000000008:XETR:EUR,2024-01-02T12:50:00Z,EXIT,close-observed take profit,0.1799603662377781,True
ZZ0000000008:XETR:EUR,2024-01-02T13:00:00Z,LONG,momentum,0.185567502139991,False
ZZ0000000008:XETR:EUR,2024-01-02T13:35:00Z,LONG,momentum,0.1774681287581653,True
ZZ0000000008:XETR:EUR,2024-01-02T14:05:00Z,EXIT,signal reversal,0.18399677884562088,True
ZZ0000000008:XETR:EUR,2024-01-02T14:30:00Z,LONG,momentum,0.174326466444302,False
ZZ0000000008:XETR:EUR,2024-01-02T14:35:00Z,LONG,momentum,0.1736399828158375,False
ZZ0000000008:XETR:EUR,2024-01-03T10:00:00Z,LONG,momentum,0.1897460424035796,True
ZZ0000000008:XETR:EUR,2024-01-03T10:20:00Z,EXIT,close-observed stop,0.2041207148449859,True
ZZ0000000008:XETR:EUR,2024-01-03T11:10:00Z,LONG,momentum,0.2281054382657801,True
ZZ0000000008:XETR:EUR,2024-01-03T11:25:00Z,EXIT,close-observed stop,0.23051271128014506,True
ZZ0000000008:XETR:EUR,2024-01-03T12:45:00Z,LONG,momentum,0.17857843811860263,True
ZZ0000000008:XETR:EUR,2024-01-03T13:40:00Z,EXIT,close-observed take profit,0.1951645066071411,True
ZZ0000000008:XETR:EUR,2024-01-03T14:40:00Z,LONG,momentum,0.18615418180656665,True
ZZ0000000008:XETR:EUR,2024-01-03T15:05:00Z,EXIT,close-observed take profit,0.2158788877446826,True
ZZ0000000008:XETR:EUR,2024-01-03T15:15:00Z,LONG,momentum,0.21691746172297194,False
ZZ0000000008:XETR:EUR,2024-01-03T15:25:00Z,LONG,momentum,0.23203138312150684,False
ZZ0000000008:XETR:EUR,2024-01-04T09:20:00Z,LONG,momentum,0.18190982617869267,True
ZZ0000000008:XETR:EUR,2024-01-04T09:55:00Z,EXIT,close-observed take profit,0.1995123515001954,True
ZZ0000000008:XETR:EUR,2024-01-04T10:05:00Z,LONG,momentum,0.22343533956232062,False
ZZ0000000008:XETR:EUR,2024-01-04T10:10:00Z,LONG,momentum,0.21167207447742392,False
ZZ0000000008:XETR:EUR,2024-01-04T11:55:00Z,LONG,momentum,0.2321410995350734,True
ZZ0000000008:XETR:EUR,2024-01-04T13:10:00Z,EXIT,close-observed take profit,0.18884123583454326,True
ZZ0000000008:XETR:EUR,2024-01-04T13:35:00Z,LONG,momentum,0.16683301845991394,True
ZZ0000000008:XETR:EUR,2024-01-04T13:55:00Z,EXIT,close-observed take profit,0.20575144579601456,True
ZZ0000000008:XETR:EUR,2024-01-04T14:15:00Z,LONG,momentum,0.22100119020109177,False
