instrument_id,timestamp,action,reason,stop_distance,approved
ZZ0000000008:XETR:EUR,2024-01-02T10:20:00Z,LONG,momentum,0.16536619310315867,True
ZZ0000000008:XETR:EUR,2024-01-02T10:35:00Z,EXIT,close-observed take profit,0.18435663598624633,True
ZZ0000000008:XETR:EUR,2024-01-02T10:40:00Z,LONG,momentum,0.18018343111389357,True
ZZ0000000008:XETR:EUR,2024-01-02T11:25:00Z,EXIT,close-observed take profit,0.19175990174652316,True
ZZ0000000008:XETR:EUR,2024-01-02T11:50:00Z,LONG,momentum,0.174427900897028,True
ZZ0000000008:XETR:EUR,2024-01-02T12:10:00Z,EXIT,close-observed take profit,0.17931819902856105,True
ZZ0000000008:XETR:EUR,2024-01-02T12:25:00Z,LONG,momentum,0.19444167927824957,True
ZZ0000000008:XETR:EUR,2024-01-02T13:25:00Z,EXIT,close-observed take profit,0.18410868451810256,True
ZZ0000000008:XETR:EUR,2024-01-02T13:35:00Z,LONG,momentum,0.1774681287581653,True
ZZ0000000008:XETR:EUR,2024-01-02T14:05:00Z,EXIT,signal reversal,0.18399677884562088,True
ZZ0000000008:XETR:EUR,2024-01-02T14:30:00Z,LONG,momentum,0.174326466444302,False
ZZ0000000008:XETR:EUR,2024-01-02T14:35:00Z,LONG,momentum,0.1736399828158375,True
ZZ0000000008:XETR:EUR,2024-01-02T15:35:00Z,EXIT,close-observed take profit,0.16440339627919898,True
ZZ0000000008:XETR:EUR,2024-01-03T10:00:00Z,LONG,momentum,0.1897460424035796,True
ZZ0000000008:XETR:EUR,2024-01-03T10:30:00Z,EXIT,signal reversal,0.20298849102162309,True
ZZ0000000008:XETR:EUR,2024-01-03T11:10:00Z,LONG,momentum,0.2281054382657801,True
ZZ0000000008:XETR:EUR,2024-01-03T11:40:00Z,EXIT,signal reversal,0.22732029871471782,True
ZZ0000000008:XETR:EUR,2024-01-03T12:45:00Z,LONG,momentum,0.17857843811860263,True
ZZ0000000008:XETR:EUR,2024-01-03T13:30:00Z,EXIT,close-observed take profit,0.21220640133733987,True
ZZ0000000008:XETR:EUR,2024-01-03T14:40:00Z,LONG,momentum,0.18615418180656665,True
